17,0,Martin Fury
25,1,Worn Shortsword
35,1,Bent Staff
36,1,Worn Mace
37,1,Worn Axe
38,1,Recruit's Shirt
39,1,Recruit's Pants
40,1,Recruit's Boots
41,1,OLDRecruit's Belt
42,1,OLDSquire's Belt
43,1,Squire's Boots
44,1,Squire's Pants
45,1,Squire's Shirt
46,1,OLDFootpad's Belt
47,1,Footpad's Shoes
48,1,Footpad's Pants
49,1,Footpad's Shirt
50,1,OLDInitiate's Belt
51,1,Neophyte's Boots
52,1,Neophyte's Pants
53,1,Neophyte's Shirt
54,1,OLDNovice's Belt
55,1,Apprentice's Boots
56,1,Apprentice's Robe
57,1,Acolyte's Robe
58,1,OLDAcolyte's Belt
59,1,Acolyte's Shoes
60,1,Layered Tunic
61,1,Dwarven Leather Pants
77,1,Deprecated Outfitter Cloth Armor
79,1,Dwarven Cloth Britches
80,1,Soft Fur-Lined Shoes
85,1,Dirty Leather Vest
86,1,Deprecated Old Belt
87,1,Deprecated Old Boots
88,0,Deprecated Old Pants
89,1,OLDThick Trapper's Shirt
90,1,OLDDwarven Initiate's Belt
91,0,OLDDwarven Initiate's Pants
92,1,OLDDwarven Initiate's Boots
93,1,OLDDwarven Initiate's Shirt
94,1,Deprecated Dwarven Novice's Belt
95,1,Deprecated Dwarven Novice's Boots
97,0,Deprecated Dwarven Novice's Robe
98,1,Deprecated Dwarven Squire's Belt
99,1,Deprecated Dwarven Squire's Boots
100,0,Deprecated Dwarven Squire's Pants
101,1,Deprecated Dwarven Squire's Shirt
102,1,Deprecated Dwarven Recruit's Belt
103,1,Deprecated Dwarven Recruit's Boots
104,0,Deprecated Sturdy Brown Pants
105,1,Deprecated Dwarven Recruit's Shirt
113,0,Deprecated Dwarven Apprentice Pants
114,1,Deprecated Dwarven Apprentice Boots
115,1,Deprecated Dwarven Apprentice Belt
119,1,Deprecated Rogue's Vest
120,1,Thug Pants
121,1,Thug Boots
122,1,OLDThug Belt
123,1,Deprecated Orc Apprentice Shirt
124,0,Deprecated Orc Apprentice Pants
125,1,Deprecated Orc Apprentice Boots
126,1,Deprecated Orc Apprentice Belt
127,1,Trapper's Shirt
128,0,Deprecated Tauren Trapper's Pants
129,1,Rugged Trapper's Boots
130,1,Deprecated Tauren Trapper's Belt
131,1,Deprecated Orc Acolyte's Belt
132,1,Deprecated Orc Acolyte's Boots
133,1,Deprecated Orc Acolyte's Shirt
134,1,Deprecated Stiff Leather Shirt
135,0,Deprecated Stiff Leather Pants
136,1,Deprecated Old Leather Boots
137,1,OLDNeophyte's Belt
138,1,Deprecated War Harness
139,1,Brawler's Pants
