3,987,6,Flesh Eater
6,10913,7,Kobold Vermin
19,6074,0,Benny Questgiver
29,25275,7,Kanrethad
30,382,1,Forest Spider
31,145,0,Furbolg
36,367,9,Harvest Golem
38,5035,7,Defias Thug
40,373,7,Kobold Miner
43,368,1,Mine Spider
46,441,7,Murloc Forager
48,200,6,Skeletal Warrior
49,159,0,Lesser Succubus
54,1287,7,Corina Steele
55,17,0,Mean Ed the Blacksmith
60,2153,7,Ruklar the Trapper
61,3341,7,Thuros Lightfingers
62,511,7,Gug Fatcandle
65,13,0,Peasant Woman
66,1298,7,Tharynn Bouden
67,23,0,[UNUSED] Marlon Darnik
68,3167,7,Stormwind City Guard
69,31048,1,Diseased Timber Wolf
70,13,0,[UNUSED] Lower Class Citizen
71,137,0,Rankist
72,19,0,[UNUSED] Antaris the Trader
73,15,0,Veraina the Apothecary
74,1289,7,Kurran Steele
75,166,0,[UNUSED] Vashaum Nightwither
78,3275,7,Janos Hammerknuckle
79,774,7,Narg the Taskmaster
80,365,7,Kobold Laborer
81,371,0,[UNUSED] Luglar the Clogger
82,16,0,Crazy Leonetti
89,169,3,Infernal
90,791,5,Sea Giant
92,171,4,Rock Elemental
93,172,0,Centaur
94,33163,7,Cutpurse
95,4418,7,Defias Smuggler
97,10791,7,Riverpaw Runt
98,376,7,Riverpaw Taskmaster
99,3320,7,Morgaine the Sly
100,603,7,Gruff Swiftbite
102,177,0,Bronze Dragonspawn
103,2073,7,Garrick Padfoot
105,178,0,Tall Strider
106,179,1,Kodo Beast
107,180,0,Raptor
108,181,0,Green Dragonspawn
109,182,0,White Dragonspawn
111,20,0,Priest
112,14,0,Priestess
113,503,1,Stonetusk Boar
114,378,9,Harvest Watcher
115,379,9,Harvest Reaper
116,33161,7,Bandit
117,175,7,Riverpaw Gnoll
118,11415,1,Prowler
119,381,1,Longsnout
120,366,0,Forest Stalker
121,2336,7,Defias Pathstalker
122,2342,7,Defias Highwayman
123,383,7,Riverpaw Mongrel
124,384,7,Riverpaw Brute
125,10790,7,Riverpaw Overseer
126,983,7,Murloc Coastrunner
127,1995,7,Murloc Tidehunter
128,1415,0,Angry Programmer Tweedle Dee
129,138,0,Angry Programmer Tweedle Dum
130,62,0,Programmer Vendor
149,387,0,[UNUSED] Small Black Dragon Whelp
150,190,0,[UNUSED] Brother Milius
151,1292,7,Brog Hamfist
152,3277,7,Brother Danil
153,14947,7,Bethina
154,1105,1,Greater Fleshripper
157,3027,1,Goretusk
161,18,0,[UNUSED] Ander the Monk
165,390,0,[UNUSED] Small Child
167,1844,7,Morhan Coppertongue
171,1305,7,Murloc Warrior
190,3276,7,Dermot Johns
193,196,2,Blue Dragonspawn
196,3251,7,Eagan Peltskinner
197,1859,7,Marshal McBride
198,5001,7,Khelden Bremen
199,410,1,Young Fleshripper
202,1200,6,Rotting Horror
203,9783,6,Skeletal Mage
204,200,0,[UNUSED] Cackle Flamebone
205,33574,7,Nightbane Dark Runner
206,33575,7,Nightbane Vile Fang
210,570,6,Bone Chewer
212,1054,7,Splinter Fist Warrior
213,801,1,Starving Dire Wolf
215,4276,7,Defias Night Runner
217,955,1,Venom Web Spider
218,4275,7,Grave Robber
222,1845,7,Nillen Andemar
223,10619,7,Dan Golthas
225,4331,7,Gavin Gnarltree
226,4332,7,Morg Gnarltree
227,4340,7,Mabel Solaj
228,4334,7,Avette Fellwood
232,3614,7,Farmer Ray
233,1943,7,Farmer Saldean
234,23690,7,Marshal Gryan Stoutmantle
235,1691,7,Salma Saldean
237,1944,7,Farmer Furlbrow
238,1692,7,Verna Furlbrow
239,3265,7,Grimbooze Thunderbrew
240,1985,7,Marshal Dughan
241,3254,7,Remy "Two Times"
243,163,0,[UNUSED] Greeby Mudwhisker TEST
244,3330,7,Ma Stonefield
246,3329,7,"Auntie" Bernice Stonefield
247,221,7,Billy Maclure
248,2959,7,Gramma Stonefield
250,3327,7,Pa Maclure
251,3323,7,Maybell Maclure
252,3331,7,Tommy Joe Stonefield
253,5038,7,William Pestle
255,3324,7,Gerard Tiller
257,2299,7,Kobold Worker
258,3328,7,Joshua Maclure
261,1984,7,Guard Thomas
263,4321,7,Lord Ello Ebonlocke
264,4322,7,Commander Althea Ebonlocke
265,4323,7,Madame Eva
266,1741,7,Wiley the Black
267,1720,7,Clerk Daltry
268,4324,7,Sirra Von'Indi
269,4309,7,Role Dreuger
270,1724,7,Councilman Millstipe
271,1713,7,Ambassador Berrybuck
272,1715,7,Chef Grual
273,1731,7,Tavernkeep Smitts
274,5039,7,Barkeep Hann
275,1734,7,Whit Wantmal
276,4326,7,Viktori Prism'Antras
277,1433,7,Roberto Pupellyverbos
278,3268,7,Sara Timberlain
279,5082,7,Morgan Pestle
280,68,0,Placeholder - Jasperlode Mine
284,2404,1,Brown Horse
285,617,7,Murloc
287,68,0,Placeholder - Darkhollow Mine
288,4325,7,Jitters
289,4328,7,Abercrombie
290,68,0,Placeholder - Fargodeep Mine
291,31,0,Placeholder Chest of Drawers
294,1689,7,Marshal Haggard
295,1291,7,Innkeeper Farley
296,232,0,[UNUSED] Goodmother Jans
297,1756,7,Caretaker Folsom
299,18156,1,Young Wolf
300,10170,7,Zzarc' Vul
302,915,6,Blind Mary
304,2346,3,Felsteed
305,2410,1,White Stallion
306,2408,1,Palomino
307,2409,1,Pinto
308,2402,1,Black Stallion
311,4327,7,Sven Yorgen
313,3348,7,Theocritus
314,10487,6,Eliza
315,1562,6,Stalvan Mistmantle
319,190,0,[UNUSED] Brother Benthas
325,4320,7,Hogan Ference
327,2299,7,Goldtooth
328,1294,7,Zaldimar Wefhellt
329,453,4,Earth Elemental
330,22320,1,Princess
331,1484,7,Maginor Dumas
332,1736,7,Master Mathias Shaw
334,6050,7,Gath'Ilzogg
335,497,2,Singe
338,5080,7,Mazen Mac'Nadir
339,459,0,[UNUSED] Helgor the Pugilist
340,5728,7,Kendor Kabonka
341,1748,7,Foreman Oslow
342,1743,7,Martie Jainrose
343,3377,7,Chef Breanna
344,1753,7,Magistrate Solomon
345,703,1,Bellygrub
346,3370,7,Barkeep Daniels
347,15099,7,Grizzle Halfmane
